,Alt_name,Product Name,Price,User_Rating,Reviews Count
0,Skybags Brat Black 46 Cms Casual Backpack ,Skybags Brat Black 46 Cms Casual Backpack,659,4.1,"(3,770)"
1,American Tourister 32 Ltrs Grey Casual Backpack (AMT FIZZ SCH BAG 02 - GREY) ,American Tourister 32 Ltrs Grey Casual Backpack (AMT FIZZ SCH BAG 02 - GREY),"1,099",4.1,"(52,288)"
2,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3,"(9,794)"
3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,Unknown Product Name,"1,199",4.1,"(52,288)"
4,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,Unknown Product Name,"1,199",4.1,"(52,288)"
5,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ",Unknown Product Name,"1,299",4.1,(8)
6,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ",Unknown Product Name,"1,299",4.1,(8)
7,American Tourister Casual Backpack ,Unknown Product Name,"1,139",4.1,"(14,461)"
8,American Tourister Casual Backpack ,Unknown Product Name,"1,139",4.1,"(14,461)"
9,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ",Unknown Product Name,"1,299",4.1,(8)
10,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ",Unknown Product Name,"1,299",4.1,(8)
11,American Tourister Ivy Spinner Polypropylene (PP) 77 Cm Large Sea Green Check-in Hard Luggage with TSA Lock Check-in ,Unknown Product Name,"3,999",4.1,(151)
12,American Tourister Ivy Spinner Polypropylene (PP) 77 Cm Large Sea Green Check-in Hard Luggage with TSA Lock Check-in ,Unknown Product Name,"3,999",4.1,(151)
13,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley ,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9,"(6,297)"
14,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) ,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.8,(566)
15,Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop Compartment & Rain Cover (Navy_Blue) ,Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop Compartment & Rain Cover (Navy_Blue),689,3.9,"(15,248)"
16,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black ,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,214,3.7,"(6,056)"
17,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB) ,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,4.0,"(18,009)"
18,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets ,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,699,3.7,(115)
19,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ","American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.1,(8)
20,Kuber Industries Women's Handkerchief Set (Cream) ,Unknown Product Name,313,3.8,(482)
21,Kuber Industries Women's Handkerchief Set (Cream) ,Unknown Product Name,313,3.8,(482)
22,Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3) ,Unknown Product Name,615,3.9,"(4,100)"
23,Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3) ,Unknown Product Name,615,3.9,"(4,100)"
24,ADISA women girls embroided sling bag ,Unknown Product Name,495,4.2,"(1,428)"
25,ADISA women girls embroided sling bag ,Unknown Product Name,495,4.2,"(1,428)"
26,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle ,Unknown Product Name,974,4.2,"(3,629)"
27,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle ,Unknown Product Name,974,4.2,"(3,629)"
28,Blue Tree 10 Ltrs ( Cms)Backpack(Bluetree_Backpacks_034_Multi Colour) ,Unknown Product Name,288,4.0,"(1,058)"
29,Blue Tree 10 Ltrs ( Cms)Backpack(Bluetree_Backpacks_034_Multi Colour) ,Unknown Product Name,288,4.0,"(1,058)"
30,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",Unknown Product Name,324,4.2,(50)
31,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",Unknown Product Name,324,4.2,(50)
32,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,Unknown Product Name,435,4.0,(4)
33,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,Unknown Product Name,435,4.0,(4)
34,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow) ,Unknown Product Name,288,4.0,(68)
35,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow) ,Unknown Product Name,288,4.0,(68)
36,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,Unknown Product Name,435,5.0,(1)
37,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,Unknown Product Name,435,5.0,(1)
38,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Shark ,Unknown Product Name,435,4.6,(12)
39,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Shark ,Unknown Product Name,435,4.6,(12)
40,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag) ,Unknown Product Name,288,4.0,"(1,478)"
41,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag) ,Unknown Product Name,288,4.0,"(1,478)"
42,Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment ,Unknown Product Name,549,4.2,(101)
43,Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment ,Unknown Product Name,549,4.2,(101)
44,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"(2,340)"
45,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ","Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1,"(8,155)"
46,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown ,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,075",4.4,"(5,454)"
47,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK) ","Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",799,3.9,(715)
48,ADISA Light Weight Laptop Backpack 32 Ltrs ,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0,"(5,646)"
49,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey) ,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,4.0,(31)
